element,sp_num,obs_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
He,1,"=""501.56783""","=""100""","=""1.3372e+07""",AAA,"=""[166277.440141]""","=""[186209.364940]""","=""1s.2s""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,"=""T8636c73""","=""L14926""",
He,1,"=""504.7738""","=""10""","=""6.7712e+06""",AAA,"=""[171134.896946]""","=""[190940.226355]""","=""1s.2p""","=""1P*""","=""1""","=""1s.4s""","=""1S""","=""0""",,"=""T8636c73""","=""L14925c72""",
He,1,"=""587.5621""","=""500*""","=""1.7673e+07""",AAA,"=""[169086.7664725]""","=""[186101.5486891]""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""2""",,"=""T8636c73""","=""L366""",
He,1,"=""587.5621""","=""500*""","=""7.0708e+07""",AAA,"=""[169086.7664725]""","=""[186101.5461767]""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""3""",,"=""T8636c73""","=""L366""",
He,1,"=""587.5621""","=""500*""","=""2.9462e+07""",AAA,"=""[169086.8428979]""","=""[186101.5928903]""","=""1s.2p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""1""",,"=""T8636c73""","=""L366""",
He,1,"=""587.5621""","=""500*""","=""5.3019e+07""",AAA,"=""[169086.8428979]""","=""[186101.5486891]""","=""1s.2p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""2""",,"=""T8636c73""","=""L366""",
He,1,"=""667.8151""","=""100""","=""6.3705e+07""",AAA,"=""[171134.896946]""","=""[186104.9666893]""","=""1s.2p""","=""1P*""","=""1""","=""1s.3d""","=""1D""","=""2""",,"=""T8636c73""","=""L366""",
He,1,"=""706.5190""","=""200*""","=""1.5474e+07""",AAA,"=""[169086.7664725]""","=""[183236.79170]""","=""1s.2p""","=""3P*""","=""2""","=""1s.3s""","=""3S""","=""1""",,"=""T8636c73""","=""L14925c72""",
He,1,"=""706.5190""","=""200*""","=""9.2844e+06""",AAA,"=""[169086.8428979]""","=""[183236.79170]""","=""1s.2p""","=""3P*""","=""1""","=""1s.3s""","=""3S""","=""1""",,"=""T8636c73""","=""L14925c72""",
He,1,"=""706.571""","=""30""","=""3.0948e+06""",AAA,"=""[169087.8308131]""","=""[183236.79170]""","=""1s.2p""","=""3P*""","=""0""","=""1s.3s""","=""3S""","=""1""",,"=""T8636c73""","=""L366""",
He,1,"=""728.1349""","=""50""","=""1.8299e+07""",AAA,"=""[171134.896946]""","=""[184864.82932]""","=""1s.2p""","=""1P*""","=""1""","=""1s.3s""","=""1S""","=""0""",,"=""T8636c73""","=""L366"""
